model,Model:,AIC:,Link Function:,BIC:,Dependent Variable:,Log-Likelihood:,LL-Null:,No. Observations:,Deviance:,Df Model:,Pearson chi2:,Df Residuals:,Scale:,Method:
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,233.6546,Log,-3886.369,recommenders_avg,-112.83,-119.36,617,52.076,3,52.1,613,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,233.7274,Log,-3873.851,recommenders_avg,-110.86,-119.38,617,51.744,5,51.7,611,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,233.771,Log,-3873.8473,obamacare_test_recommendations_neuMF_0,-110.89,-114.39,617,51.748,5,51.7,611,0,IRLS
recommenders_avg ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,233.7888,Log,-3898.8678,recommenders_avg,-114.89,-119.35,617,52.427,1,52.4,615,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,233.7938,Log,-3886.3572,recommenders_avg,-112.9,-119.36,617,52.088,3,52.1,613,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,233.861,Log,-3880.0959,recommenders_avg,-111.93,-119.37,617,51.924,4,51.9,612,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,234.0409,Log,-3892.5915,recommenders_avg,-114.02,-119.35,617,52.278,2,52.3,614,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,234.0536,Log,-3892.5905,obamacare_test_recommendations_neuMF_0,-114.03,-114.39,617,52.279,2,52.3,614,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,234.152,Log,-3880.0714,obamacare_test_recommendations_neuMF_0,-112.08,-114.39,617,51.948,4,51.9,612,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg,GLM,234.1636,Log,-3880.0704,recommenders_avg,-112.08,-119.37,617,51.949,4,51.9,612,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,234.3255,Log,-3892.5674,obamacare_test_recommendations_neuMF_0,-114.16,-114.39,617,52.302,2,52.3,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,234.5306,Log,-3880.0395,recommenders_avg,-112.27,-119.36,617,51.98,4,52,612,0,IRLS
recommenders_avg ~ df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,234.5767,Log,-3892.5461,recommenders_avg,-114.29,-119.35,617,52.323,2,52.3,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,234.6276,Log,-3892.5418,recommenders_avg,-114.31,-119.35,617,52.328,2,52.3,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,234.657,Log,-3880.0288,recommenders_avg,-112.33,-119.36,617,51.991,4,52,612,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,234.6646,Log,-3873.7723,recommenders_avg,-111.33,-119.37,617,51.823,5,51.8,611,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,234.8858,Log,-3880.0096,recommenders_avg,-112.44,-119.36,617,52.01,4,52,612,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,234.9593,Log,-3886.2587,obamacare_test_recommendations_neuMF_0,-113.48,-114.39,617,52.186,3,52.2,613,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,234.9765,Log,-3886.2573,obamacare_test_recommendations_neuMF_0,-113.49,-114.39,617,52.187,3,52.2,613,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,235.2098,Log,-3886.2375,obamacare_test_recommendations_neuMF_0,-113.6,-114.39,617,52.207,3,52.2,613,0,IRLS
recommenders_avg ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg,GLM,235.3449,Log,-3886.2261,recommenders_avg,-113.67,-119.35,617,52.219,3,52.2,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,235.5145,Log,-3879.9565,recommenders_avg,-112.76,-119.36,617,52.063,4,52.1,612,0,IRLS
recommenders_avg ~ df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,235.5965,Log,-3898.7139,recommenders_avg,-115.8,-119.34,617,52.581,1,52.6,615,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,235.6044,Log,-3886.2041,obamacare_test_recommendations_neuMF_0,-113.8,-114.39,617,52.241,3,52.2,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,236.0511,Log,-3873.6558,recommenders_avg,-112.03,-119.36,617,51.939,5,51.9,611,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,236.0835,Log,-3886.1635,recommenders_avg,-114.04,-119.35,617,52.281,3,52.3,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,236.3076,Log,-3886.1446,recommenders_avg,-114.15,-119.35,617,52.3,3,52.3,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,236.4643,Log,-3886.1313,recommenders_avg,-114.23,-119.34,617,52.313,3,52.3,613,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,236.8674,Log,-3879.8422,obamacare_test_recommendations_neuMF_0,-113.43,-114.39,617,52.178,4,52.2,612,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,237.4242,Log,-3892.3041,recommenders_avg,-115.71,-119.34,617,52.565,2,52.6,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,237.451,Log,-3892.3018,recommenders_avg,-115.73,-119.34,617,52.568,2,52.6,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,237.5066,Log,-3892.2971,recommenders_avg,-115.75,-119.34,617,52.573,2,52.6,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,237.7496,Log,-3879.7676,recommenders_avg,-113.87,-119.34,617,52.252,4,52.3,612,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,238.4788,Log,-3885.9602,recommenders_avg,-115.24,-119.34,617,52.485,3,52.5,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,238.7799,Log,-3885.9346,recommenders_avg,-115.39,-119.34,617,52.51,3,52.5,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__group_ratio_k_10____recommenders_avg,GLM,239.4035,Log,-3885.8815,recommenders_avg,-115.7,-119.33,617,52.563,3,52.6,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg,GLM,239.6275,Log,-3898.3693,recommenders_avg,-117.81,-119.33,617,52.925,1,52.9,615,0,IRLS
recommenders_avg ~ df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,239.9795,Log,-3898.3391,recommenders_avg,-117.99,-119.33,617,52.955,1,53,615,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,240.3202,Log,-3879.5494,recommenders_avg,-115.16,-119.33,617,52.47,4,52.5,612,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg,GLM,241.2915,Log,-3891.9736,recommenders_avg,-117.65,-119.33,617,52.896,2,52.9,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg,GLM,241.6315,Log,-3891.9444,recommenders_avg,-117.82,-119.33,617,52.925,2,52.9,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,241.8123,Log,-3891.9289,recommenders_avg,-117.91,-119.33,617,52.941,2,52.9,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,241.8863,Log,-3891.9226,recommenders_avg,-117.94,-119.33,617,52.947,2,52.9,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,242.374,Log,-3891.8807,obamacare_test_recommendations_content__in__emb_0,-118.19,-121.25,617,52.989,2,53,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,242.572,Log,-3898.1161,recommenders_avg,-119.29,-119.33,617,53.178,1,53.2,615,0,IRLS
recommenders_avg ~ df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg,GLM,242.5765,Log,-3898.1157,recommenders_avg,-119.29,-119.33,617,53.179,1,53.2,615,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,242.9604,Log,-3898.0826,obamacare_test_recommendations_content__in__emb_0,-119.48,-121.25,617,53.212,1,53.2,615,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____recommenders_avg + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg,GLM,243.1999,Log,-3885.5571,recommenders_avg,-117.6,-119.33,617,52.888,3,52.9,613,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg + df_metrics_miscalibration__individual_diversity_content_k_10____recommenders_avg,GLM,243.4359,Log,-3885.5368,recommenders_avg,-117.72,-119.33,617,52.908,3,52.9,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,243.5593,Log,-3885.5262,obamacare_test_recommendations_content__in__emb_0,-117.78,-121.25,617,52.918,3,52.9,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,243.7234,Log,-3885.5122,obamacare_test_recommendations_content__in__emb_0,-117.86,-121.25,617,52.933,3,52.9,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,243.9671,Log,-3891.7437,obamacare_test_recommendations_content__in__emb_0,-118.98,-121.25,617,53.126,2,53.1,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.0177,Log,-3891.7393,obamacare_test_recommendations_content__in__emb_0,-119.01,-121.25,617,53.13,2,53.1,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.0902,Log,-3885.4807,obamacare_test_recommendations_content__in__emb_0,-118.05,-121.25,617,52.964,3,53,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.1079,Log,-3891.7316,obamacare_test_recommendations_content__in__emb_0,-119.05,-121.25,617,53.138,2,53.1,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.1698,Log,-3885.4738,obamacare_test_recommendations_content__in__emb_0,-118.08,-121.25,617,52.971,3,53,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.2017,Log,-3885.4711,obamacare_test_recommendations_content__in__emb_0,-118.1,-121.25,617,52.974,3,53,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.3295,Log,-3885.4601,obamacare_test_recommendations_content__in__emb_0,-118.16,-121.25,617,52.985,3,53,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,244.3701,Log,-3897.9609,obamacare_test_recommendations_content__in__emb_0,-120.19,-121.25,617,53.334,1,53.3,615,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.488,Log,-3891.6988,obamacare_test_recommendations_content__in__emb_0,-119.24,-121.25,617,53.171,2,53.2,614,0,IRLS
recommenders_avg ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____recommenders_avg,GLM,244.5494,Log,-3891.6935,recommenders_avg,-119.27,-119.33,617,53.176,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning,GLM,244.6522,Log,-3897.9365,obamacare_test_recommendations_content__in__emb_0,-120.33,-121.25,617,53.358,1,53.4,615,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.72,Log,-3879.1739,obamacare_test_recommendations_content__in__emb_0,-117.36,-121.25,617,52.846,4,52.8,612,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.7503,Log,-3885.424,obamacare_test_recommendations_content__in__emb_0,-118.38,-121.25,617,53.021,3,53,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.857,Log,-3891.667,obamacare_test_recommendations_content__in__emb_0,-119.43,-121.25,617,53.203,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.8893,Log,-3891.6642,obamacare_test_recommendations_content__in__emb_0,-119.44,-121.25,617,53.205,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.942,Log,-3891.6597,obamacare_test_recommendations_content__in__emb_0,-119.47,-121.25,617,53.21,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,244.9629,Log,-3891.6579,obamacare_test_recommendations_content__in__emb_0,-119.48,-121.25,617,53.212,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.0566,Log,-3897.9015,obamacare_test_recommendations_content__in__emb_0,-120.53,-121.25,617,53.393,1,53.4,615,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.333,Log,-3879.1214,obamacare_test_recommendations_content__in__emb_0,-117.67,-121.25,617,52.898,4,52.9,612,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.3339,Log,-3879.1213,obamacare_test_recommendations_content__in__emb_0,-117.67,-121.25,617,52.899,4,52.9,612,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.3419,Log,-3885.3731,obamacare_test_recommendations_content__in__emb_0,-118.67,-121.25,617,53.072,3,53.1,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,245.3492,Log,-3891.6246,obamacare_test_recommendations_content__in__emb_0,-119.67,-121.25,617,53.245,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.3531,Log,-3885.3722,obamacare_test_recommendations_content__in__emb_0,-118.68,-121.25,617,53.073,3,53.1,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.3843,Log,-3891.6215,obamacare_test_recommendations_content__in__emb_0,-119.69,-121.25,617,53.248,2,53.2,614,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.3968,Log,-3885.3684,obamacare_test_recommendations_content__in__emb_0,-118.7,-121.25,617,53.076,3,53.1,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.4247,Log,-3885.366,obamacare_test_recommendations_content__in__emb_0,-118.71,-121.25,617,53.079,3,53.1,613,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,245.4672,Log,-3897.866,obamacare_test_recommendations_content__in__emb_0,-120.73,-121.25,617,53.428,1,53.4,615,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.529,Log,-3879.1046,obamacare_test_recommendations_content__in__emb_0,-117.76,-121.25,617,52.915,4,52.9,612,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.5332,Log,-3879.1042,obamacare_test_recommendations_content__in__emb_0,-117.77,-121.25,617,52.916,4,52.9,612,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.535,Log,-3879.1041,obamacare_test_recommendations_content__in__emb_0,-117.77,-121.25,617,52.916,4,52.9,612,0,IRLS
obamacare_test_recommendations_content__in__emb_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_content__in__emb_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_content__in__emb_0,GLM,245.551,Log,-3879.1027,obamacare_test_recommendations_content__in__emb_0,-117.78,-121.25,617,52.917,4,52.9,612,0,IRLS
